"","Plasmablasts","Myeloid dendritic cells","Classical monocytes","Intermediate monocytes","Plasmacytoid dendritic cells","Non classical monocytes","Switched memory B cells","Non-switched memory B cells","NA","Naive B cells","Exhausted B cells","Terminal effector CD8 T cells","Th1 cells","T regulatory cells","Natural killer cells","Naive CD4 T cells","Non-Vd2 gd T cells","Central memory CD8 T cells","Vd2 gd T cells","Effector memory CD8 T cells","Naive CD8 T cells","Terminal effector CD4 T cells","Th2 cells","Progenitor cells","MAIT cells","Th17 cells","Th1/Th17 cells","Follicular helper T cells","Low-density basophils"
"whole",0.340821068938807,4.66305189775368,18.2649109217661,3.47017815646785,0.69713400464756,2.58714175058094,1.19287374128583,5.15879163439194,NA,17.5522850503486,1.09992254066615,3.02091402013943,0.154918667699458,0.511231603408211,31.6189000774593,0.0929512006196747,3.42370255615802,0.263361735089078,1.50271107668474,0.604182804027885,0.10844306738962,1.17738187451588,0.123934934159566,0.216886134779241,0.325329202168861,0.0929512006196747,0.154918667699458,0.0464756003098373,0.0154918667699458
"HVGs",0.325329202168861,3.88845855925639,19.1169635941131,3.17583268783888,0.790085205267235,2.71107668474051,3.20681642137878,6.69248644461658,NA,12.6413632842758,2.35476374903176,3.16034082106894,0.154918667699458,0.511231603408211,31.2625871417506,NA,3.93493415956623,0.325329202168861,1.42525174283501,0.247869868319132,0.0464756003098373,1.33230054221534,0.557707203718048,0.216886134779241,0.29434546862897,0.154918667699458,0.154918667699458,0.0309837335398916,0.0154918667699458
